purpose,p_field,a_field,constraint,imp_core,a,b,c
CV,CV_OP,CVa_OP,Production,Time,5,1,0.1
SUT,SUT_OP,SUTa_OP,Production,Time,5,0.75,0.1
MUT,MUT_OP,MUTa_OP,Production,Time,5,0.6,0.1
