A112109 - Number of Workers in household (6) (Households),,,
Current date: 11/15/2022 12:36:46 PM (Eastern Standard Time),,,
RESIDENCE,Number of Workers in Household 6,Output,Households
"TAZ 00000144, Honolulu County, Hawaii",0 workers,Estimate,100
"TAZ 00000144, Honolulu County, Hawaii",0 workers,Margin of Error,62
"TAZ 00000144, Honolulu County, Hawaii",1 worker,Estimate,425
"TAZ 00000144, Honolulu County, Hawaii",1 worker,Margin of Error,133
"TAZ 00000144, Honolulu County, Hawaii",2 workers,Estimate,190
"TAZ 00000144, Honolulu County, Hawaii",2 workers,Margin of Error,85
"TAZ 00000144, Honolulu County, Hawaii",3 workers,Estimate,65
"TAZ 00000144, Honolulu County, Hawaii",3 workers,Margin of Error,62
"TAZ 00000144, Honolulu County, Hawaii",4-or-more workers,Estimate,0
"TAZ 00000144, Honolulu County, Hawaii",4-or-more workers,Margin of Error,11
"TAZ 00000145, Honolulu County, Hawaii","Total, number of workers in household",Estimate,925
"TAZ 00000145, Honolulu County, Hawaii","Total, number of workers in household",Margin of Error,136
"TAZ 00000145, Honolulu County, Hawaii",0 workers,Estimate,190
"TAZ 00000145, Honolulu County, Hawaii",0 workers,Margin of Error,84
"TAZ 00000145, Honolulu County, Hawaii",1 worker,Estimate,615
"TAZ 00000145, Honolulu County, Hawaii",1 worker,Margin of Error,132
"TAZ 00000145, Honolulu County, Hawaii",2 workers,Estimate,100
"TAZ 00000145, Honolulu County, Hawaii",2 workers,Margin of Error,52
"TAZ 00000145, Honolulu County, Hawaii",3 workers,Estimate,15
"TAZ 00000145, Honolulu County, Hawaii",3 workers,Margin of Error,17
"TAZ 00000145, Honolulu County, Hawaii",4-or-more workers,Estimate,4
"TAZ 00000145, Honolulu County, Hawaii",4-or-more workers,Margin of Error,10
"TAZ 00000146, Honolulu County, Hawaii","Total, number of workers in household",Estimate,875
"TAZ 00000146, Honolulu County, Hawaii","Total, number of workers in household",Margin of Error,113
"TAZ 00000146, Honolulu County, Hawaii",0 workers,Estimate,270
"TAZ 00000146, Honolulu County, Hawaii",0 workers,Margin of Error,66
"TAZ 00000146, Honolulu County, Hawaii",1 worker,Estimate,340
"TAZ 00000146, Honolulu County, Hawaii",1 worker,Margin of Error,104
"TAZ 00000146, Honolulu County, Hawaii",2 workers,Estimate,220
"TAZ 00000146, Honolulu County, Hawaii",2 workers,Margin of Error,80
"TAZ 00000146, Honolulu County, Hawaii",3 workers,Estimate,40
"TAZ 00000146, Honolulu County, Hawaii",3 workers,Margin of Error,48
"TAZ 00000146, Honolulu County, Hawaii",4-or-more workers,Estimate,0
"TAZ 00000146, Honolulu County, Hawaii",4-or-more workers,Margin of Error,11
"TAZ 00000147, Honolulu County, Hawaii","Total, number of workers in household",Estimate,720
"TAZ 00000147, Honolulu County, Hawaii","Total, number of workers in household",Margin of Error,93
"TAZ 00000147, Honolulu County, Hawaii",0 workers,Estimate,70
"TAZ 00000147, Honolulu County, Hawaii",0 workers,Margin of Error,37
"TAZ 00000147, Honolulu County, Hawaii",1 worker,Estimate,260
"TAZ 00000147, Honolulu County, Hawaii",1 worker,Margin of Error,83
"TAZ 00000147, Honolulu County, Hawaii",2 workers,Estimate,380
"TAZ 00000147, Honolulu County, Hawaii",2 workers,Margin of Error,94
"TAZ 00000147, Honolulu County, Hawaii",3 workers,Estimate,0
"TAZ 00000147, Honolulu County, Hawaii",3 workers,Margin of Error,11
"TAZ 00000147, Honolulu County, Hawaii",4-or-more workers,Estimate,10
"TAZ 00000147, Honolulu County, Hawaii",4-or-more workers,Margin of Error,13
"TAZ 00000148, Honolulu County, Hawaii","Total, number of workers in household",Estimate,170
"TAZ 00000148, Honolulu County, Hawaii","Total, number of workers in household",Margin of Error,82
"TAZ 00000148, Honolulu County, Hawaii",0 workers,Estimate,15
"TAZ 00000148, Honolulu County, Hawaii",0 workers,Margin of Error,24
"TAZ 00000148, Honolulu County, Hawaii",1 worker,Estimate,30
"TAZ 00000148, Honolulu County, Hawaii",1 worker,Margin of Error,36
"TAZ 00000148, Honolulu County, Hawaii",2 workers,Estimate,60
"TAZ 00000148, Honolulu County, Hawaii",2 workers,Margin of Error,81
"TAZ 00000148, Honolulu County, Hawaii",3 workers,Estimate,0
"TAZ 00000148, Honolulu County, Hawaii",3 workers,Margin of Error,11
"TAZ 00000148, Honolulu County, Hawaii",4-or-more workers,Estimate,60
"TAZ 00000148, Honolulu County, Hawaii",4-or-more workers,Margin of Error,45
"TAZ 00000149, Honolulu County, Hawaii","Total, number of workers in household",Estimate,95
"TAZ 00000149, Honolulu County, Hawaii","Total, number of workers in household",Margin of Error,63
"TAZ 00000149, Honolulu County, Hawaii",0 workers,Estimate,0
"TAZ 00000149, Honolulu County, Hawaii",0 workers,Margin of Error,11
"TAZ 00000149, Honolulu County, Hawaii",1 worker,Estimate,70
"TAZ 00000149, Honolulu County, Hawaii",1 worker,Margin of Error,66
"TAZ 00000149, Honolulu County, Hawaii",2 workers,Estimate,15
"TAZ 00000149, Honolulu County, Hawaii",2 workers,Margin of Error,23
"TAZ 00000149, Honolulu County, Hawaii",3 workers,Estimate,10
"TAZ 00000149, Honolulu County, Hawaii",3 workers,Margin of Error,24
"TAZ 00000149, Honolulu County, Hawaii",4-or-more workers,Estimate,0
"TAZ 00000149, Honolulu County, Hawaii",4-or-more workers,Margin of Error,11
"TAZ 00000150, Honolulu County, Hawaii","Total, number of workers in household",Estimate,405
"TAZ 00000150, Honolulu County, Hawaii","Total, number of workers in household",Margin of Error,109
"TAZ 00000150, Honolulu County, Hawaii",0 workers,Estimate,85
"TAZ 00000150, Honolulu County, Hawaii",0 workers,Margin of Error,91
"TAZ 00000150, Honolulu County, Hawaii",1 worker,Estimate,255
"TAZ 00000150, Honolulu County, Hawaii",1 worker,Margin of Error,92
"TAZ 00000150, Honolulu County, Hawaii",2 workers,Estimate,65
"TAZ 00000150, Honolulu County, Hawaii",2 workers,Margin of Error,59
"TAZ 00000150, Honolulu County, Hawaii",3 workers,Estimate,0
"TAZ 00000150, Honolulu County, Hawaii",3 workers,Margin of Error,11
"TAZ 00000150, Honolulu County, Hawaii",4-or-more workers,Estimate,0
"TAZ 00000150, Honolulu County, Hawaii",4-or-more workers,Margin of Error,11
"TAZ 00000151, Honolulu County, Hawaii","Total, number of workers in household",Estimate,270
"TAZ 00000151, Honolulu County, Hawaii","Total, number of workers in household",Margin of Error,95
"TAZ 00000151, Honolulu County, Hawaii",0 workers,Estimate,85
"TAZ 00000151, Honolulu County, Hawaii",0 workers,Margin of Error,69
"TAZ 00000151, Honolulu County, Hawaii",1 worker,Estimate,55
"TAZ 00000151, Honolulu County, Hawaii",1 worker,Margin of Error,46
"TAZ 00000151, Honolulu County, Hawaii",2 workers,Estimate,130
"TAZ 00000151, Honolulu County, Hawaii",2 workers,Margin of Error,84
"TAZ 00000151, Honolulu County, Hawaii",3 workers,Estimate,0
"TAZ 00000151, Honolulu County, Hawaii",3 workers,Margin of Error,11
"TAZ 00000151, Honolulu County, Hawaii",4-or-more workers,Estimate,0
"TAZ 00000151, Honolulu County, Hawaii",4-or-more workers,Margin of Error,11
"TAZ 00000152, Honolulu County, Hawaii","Total, number of workers in household",Estimate,45
"TAZ 00000152, Honolulu County, Hawaii","Total, number of workers in household",Margin of Error,22
"TAZ 00000152, Honolulu County, Hawaii",0 workers,Estimate,15
"TAZ 00000152, Honolulu County, Hawaii",0 workers,Margin of Error,14
"TAZ 00000152, Honolulu County, Hawaii",1 worker,Estimate,10
"TAZ 00000152, Honolulu County, Hawaii",1 worker,Margin of Error,17
"TAZ 00000152, Honolulu County, Hawaii",2 workers,Estimate,0
"TAZ 00000152, Honolulu County, Hawaii",2 workers,Margin of Error,11
"TAZ 00000152, Honolulu County, Hawaii",3 workers,Estimate,4
"TAZ 00000152, Honolulu County, Hawaii",3 workers,Margin of Error,11
"TAZ 00000152, Honolulu County, Hawaii",4-or-more workers,Estimate,15
"TAZ 00000152, Honolulu County, Hawaii",4-or-more workers,Margin of Error,23
"TAZ 00000153, Honolulu County, Hawaii","Total, number of workers in household",Estimate,65
"TAZ 00000153, Honolulu County, Hawaii","Total, number of workers in household",Margin of Error,40
"TAZ 00000153, Honolulu County, Hawaii",0 workers,Estimate,10
"TAZ 00000153, Honolulu County, Hawaii",0 workers,Margin of Error,15
"TAZ 00000153, Honolulu County, Hawaii",1 worker,Estimate,35
"TAZ 00000153, Honolulu County, Hawaii",1 worker,Margin of Error,39
"TAZ 00000153, Honolulu County, Hawaii",2 workers,Estimate,15
"TAZ 00000153, Honolulu County, Hawaii",2 workers,Margin of Error,19
"TAZ 00000153, Honolulu County, Hawaii",3 workers,Estimate,4
"TAZ 00000153, Honolulu County, Hawaii",3 workers,Margin of Error,13
"TAZ 00000153, Honolulu County, Hawaii",4-or-more workers,Estimate,0
"TAZ 00000153, Honolulu County, Hawaii",4-or-more workers,Margin of Error,11
"TAZ 00000154, Honolulu County, Hawaii","Total, number of workers in household",Estimate,345
"TAZ 00000154, Honolulu County, Hawaii","Total, number of workers in household",Margin of Error,83
"TAZ 00000154, Honolulu County, Hawaii",0 workers,Estimate,110
"TAZ 00000154, Honolulu County, Hawaii",0 workers,Margin of Error,48
"TAZ 00000154, Honolulu County, Hawaii",1 worker,Estimate,95
"TAZ 00000154, Honolulu County, Hawaii",1 worker,Margin of Error,45
"TAZ 00000154, Honolulu County, Hawaii",2 workers,Estimate,145
"TAZ 00000154, Honolulu County, Hawaii",2 workers,Margin of Error,64
"TAZ 00000154, Honolulu County, Hawaii",3 workers,Estimate,0
"TAZ 00000154, Honolulu County, Hawaii",3 workers,Margin of Error,11
"TAZ 00000154, Honolulu County, Hawaii",4-or-more workers,Estimate,0
"TAZ 00000154, Honolulu County, Hawaii",4-or-more workers,Margin of Error,11
"TAZ 00000155, Honolulu County, Hawaii","Total, number of workers in household",Estimate,405
"TAZ 00000155, Honolulu County, Hawaii","Total, number of workers in household",Margin of Error,89
"TAZ 00000155, Honolulu County, Hawaii",0 workers,Estimate,110
"TAZ 00000155, Honolulu County, Hawaii",0 workers,Margin of Error,64
"TAZ 00000155, Honolulu County, Hawaii",1 worker,Estimate,210
"TAZ 00000155, Honolulu County, Hawaii",1 worker,Margin of Error,86
"TAZ 00000155, Honolulu County, Hawaii",2 workers,Estimate,60
"TAZ 00000155, Honolulu County, Hawaii",2 workers,Margin of Error,38
"TAZ 00000155, Honolulu County, Hawaii",3 workers,Estimate,10
"TAZ 00000155, Honolulu County, Hawaii",3 workers,Margin of Error,14
"TAZ 00000155, Honolulu County, Hawaii",4-or-more workers,Estimate,15
"TAZ 00000155, Honolulu County, Hawaii",4-or-more workers,Margin of Error,22
"TAZ 00000156, Honolulu County, Hawaii","Total, number of workers in household",Estimate,450
"TAZ 00000156, Honolulu County, Hawaii","Total, number of workers in household",Margin of Error,100
"TAZ 00000156, Honolulu County, Hawaii",0 workers,Estimate,145
"TAZ 00000156, Honolulu County, Hawaii",0 workers,Margin of Error,80
"TAZ 00000156, Honolulu County, Hawaii",1 worker,Estimate,120
"TAZ 00000156, Honolulu County, Hawaii",1 worker,Margin of Error,59
"TAZ 00000156, Honolulu County, Hawaii",2 workers,Estimate,155
"TAZ 00000156, Honolulu County, Hawaii",2 workers,Margin of Error,77
"TAZ 00000156, Honolulu County, Hawaii",3 workers,Estimate,10
"TAZ 00000156, Honolulu County, Hawaii",3 workers,Margin of Error,14
"TAZ 00000156, Honolulu County, Hawaii",4-or-more workers,Estimate,25
"TAZ 00000156, Honolulu County, Hawaii",4-or-more workers,Margin of Error,32
"TAZ 00000157, Honolulu County, Hawaii","Total, number of workers in household",Estimate,595
"TAZ 00000157, Honolulu County, Hawaii","Total, number of workers in household",Margin of Error,99
"TAZ 00000157, Honolulu County, Hawaii",0 workers,Estimate,150
"TAZ 00000157, Honolulu County, Hawaii",0 workers,Margin of Error,73
"TAZ 00000157, Honolulu County, Hawaii",1 worker,Estimate,210
"TAZ 00000157, Honolulu County, Hawaii",1 worker,Margin of Error,80
"TAZ 00000157, Honolulu County, Hawaii",2 workers,Estimate,185
"TAZ 00000157, Honolulu County, Hawaii",2 workers,Margin of Error,91
"TAZ 00000157, Honolulu County, Hawaii",3 workers,Estimate,40
"TAZ 00000157, Honolulu County, Hawaii",3 workers,Margin of Error,42
"TAZ 00000157, Honolulu County, Hawaii",4-or-more workers,Estimate,10
"TAZ 00000157, Honolulu County, Hawaii",4-or-more workers,Margin of Error,23
"TAZ 00000158, Honolulu County, Hawaii","Total, number of workers in household",Estimate,785
"TAZ 00000158, Honolulu County, Hawaii","Total, number of workers in household",Margin of Error,101
"TAZ 00000158, Honolulu County, Hawaii",0 workers,Estimate,90
"TAZ 00000158, Honolulu County, Hawaii",0 workers,Margin of Error,53
"TAZ 00000158, Honolulu County, Hawaii",1 worker,Estimate,305
"TAZ 00000158, Honolulu County, Hawaii",1 worker,Margin of Error,87
"TAZ 00000158, Honolulu County, Hawaii",2 workers,Estimate,340
"TAZ 00000158, Honolulu County, Hawaii",2 workers,Margin of Error,100
"TAZ 00000158, Honolulu County, Hawaii",3 workers,Estimate,50
"TAZ 00000158, Honolulu County, Hawaii",3 workers,Margin of Error,34
"TAZ 00000158, Honolulu County, Hawaii",4-or-more workers,Estimate,0
"TAZ 00000158, Honolulu County, Hawaii",4-or-more workers,Margin of Error,11
"TAZ 00000159, Honolulu County, Hawaii","Total, number of workers in household",Estimate,420
"TAZ 00000159, Honolulu County, Hawaii","Total, number of workers in household",Margin of Error,84
"TAZ 00000159, Honolulu County, Hawaii",0 workers,Estimate,105
"TAZ 00000159, Honolulu County, Hawaii",0 workers,Margin of Error,54
"TAZ 00000159, Honolulu County, Hawaii",1 worker,Estimate,195
"TAZ 00000159, Honolulu County, Hawaii",1 worker,Margin of Error,86
"TAZ 00000159, Honolulu County, Hawaii",2 workers,Estimate,105
"TAZ 00000159, Honolulu County, Hawaii",2 workers,Margin of Error,47
"TAZ 00000159, Honolulu County, Hawaii",3 workers,Estimate,20
"TAZ 00000159, Honolulu County, Hawaii",3 workers,Margin of Error,24
"TAZ 00000159, Honolulu County, Hawaii",4-or-more workers,Estimate,0
"TAZ 00000159, Honolulu County, Hawaii",4-or-more workers,Margin of Error,11
"TAZ 00000160, Honolulu County, Hawaii","Total, number of workers in household",Estimate,150
"TAZ 00000160, Honolulu County, Hawaii","Total, number of workers in household",Margin of Error,54
"TAZ 00000160, Honolulu County, Hawaii",0 workers,Estimate,45
"TAZ 00000160, Honolulu County, Hawaii",0 workers,Margin of Error,31
"TAZ 00000160, Honolulu County, Hawaii",1 worker,Estimate,65
"TAZ 00000160, Honolulu County, Hawaii",1 worker,Margin of Error,35
"TAZ 00000160, Honolulu County, Hawaii",2 workers,Estimate,4
"TAZ 00000160, Honolulu County, Hawaii",2 workers,Margin of Error,11
"TAZ 00000160, Honolulu County, Hawaii",3 workers,Estimate,35
"TAZ 00000160, Honolulu County, Hawaii",3 workers,Margin of Error,45
"TAZ 00000160, Honolulu County, Hawaii",4-or-more workers,Estimate,0
"TAZ 00000160, Honolulu County, Hawaii",4-or-more workers,Margin of Error,11
"TAZ 00000161, Honolulu County, Hawaii","Total, number of workers in household",Estimate,70
"TAZ 00000161, Honolulu County, Hawaii","Total, number of workers in household",Margin of Error,39
"TAZ 00000161, Honolulu County, Hawaii",0 workers,Estimate,15
"TAZ 00000161, Honolulu County, Hawaii",0 workers,Margin of Error,20
"TAZ 00000161, Honolulu County, Hawaii",1 worker,Estimate,30
"TAZ 00000161, Honolulu County, Hawaii",1 worker,Margin of Error,35
"TAZ 00000161, Honolulu County, Hawaii",2 workers,Estimate,15
"TAZ 00000161, Honolulu County, Hawaii",2 workers,Margin of Error,21
"TAZ 00000161, Honolulu County, Hawaii",3 workers,Estimate,0
"TAZ 00000161, Honolulu County, Hawaii",3 workers,Margin of Error,11
"TAZ 00000161, Honolulu County, Hawaii",4-or-more workers,Estimate,4
"TAZ 00000161, Honolulu County, Hawaii",4-or-more workers,Margin of Error,11
"TAZ 00000162, Honolulu County, Hawaii","Total, number of workers in household",Estimate,50
"TAZ 00000162, Honolulu County, Hawaii","Total, number of workers in household",Margin of Error,38
"TAZ 00000162, Honolulu County, Hawaii",0 workers,Estimate,10
"TAZ 00000162, Honolulu County, Hawaii",0 workers,Margin of Error,15
"TAZ 00000162, Honolulu County, Hawaii",1 worker,Estimate,0
"TAZ 00000162, Honolulu County, Hawaii",1 worker,Margin of Error,11
"TAZ 00000162, Honolulu County, Hawaii",2 workers,Estimate,45
"TAZ 00000162, Honolulu County, Hawaii",2 workers,Margin of Error,39
"TAZ 00000162, Honolulu County, Hawaii",3 workers,Estimate,0
"TAZ 00000162, Honolulu County, Hawaii",3 workers,Margin of Error,11
"TAZ 00000162, Honolulu County, Hawaii",4-or-more workers,Estimate,0
"TAZ 00000162, Honolulu County, Hawaii",4-or-more workers,Margin of Error,11
"TAZ 00000163, Honolulu County, Hawaii","Total, number of workers in household",Estimate,110
"TAZ 00000163, Honolulu County, Hawaii","Total, number of workers in household",Margin of Error,53
"TAZ 00000163, Honolulu County, Hawaii",0 workers,Estimate,15
"TAZ 00000163, Honolulu County, Hawaii",0 workers,Margin of Error,20
"TAZ 00000163, Honolulu County, Hawaii",1 worker,Estimate,55
"TAZ 00000163, Honolulu County, Hawaii",1 worker,Margin of Error,40
"TAZ 00000163, Honolulu County, Hawaii",2 workers,Estimate,35
"TAZ 00000163, Honolulu County, Hawaii",2 workers,Margin of Error,42
"TAZ 00000163, Honolulu County, Hawaii",3 workers,Estimate,0
"TAZ 00000163, Honolulu County, Hawaii",3 workers,Margin of Error,11
"TAZ 00000163, Honolulu County, Hawaii",4-or-more workers,Estimate,0
"TAZ 00000163, Honolulu County, Hawaii",4-or-more workers,Margin of Error,11
"TAZ 00000164, Honolulu County, Hawaii","Total, number of workers in household",Estimate,220
"TAZ 00000164, Honolulu County, Hawaii","Total, number of workers in household",Margin of Error,57
"TAZ 00000164, Honolulu County, Hawaii",0 workers,Estimate,105
"TAZ 00000164, Honolulu County, Hawaii",0 workers,Margin of Error,47
"TAZ 00000164, Honolulu County, Hawaii",1 worker,Estimate,85
"TAZ 00000164, Honolulu County, Hawaii",1 worker,Margin of Error,40
"TAZ 00000164, Honolulu County, Hawaii",2 workers,Estimate,25
"TAZ 00000164, Honolulu County, Hawaii",2 workers,Margin of Error,29
"TAZ 00000164, Honolulu County, Hawaii",3 workers,Estimate,0
"TAZ 00000164, Honolulu County, Hawaii",3 workers,Margin of Error,11
"TAZ 00000164, Honolulu County, Hawaii",4-or-more workers,Estimate,0
"TAZ 00000164, Honolulu County, Hawaii",4-or-more workers,Margin of Error,11
"TAZ 00000165, Honolulu County, Hawaii","Total, number of workers in household",Estimate,165
"TAZ 00000165, Honolulu County, Hawaii","Total, number of workers in household",Margin of Error,56
"TAZ 00000165, Honolulu County, Hawaii",0 workers,Estimate,20
"TAZ 00000165, Honolulu County, Hawaii",0 workers,Margin of Error,26
"TAZ 00000165, Honolulu County, Hawaii",1 worker,Estimate,65
"TAZ 00000165, Honolulu County, Hawaii",1 worker,Margin of Error,54
"TAZ 00000165, Honolulu County, Hawaii",2 workers,Estimate,70
"TAZ 00000165, Honolulu County, Hawaii",2 workers,Margin of Error,39
"TAZ 00000165, Honolulu County, Hawaii",3 workers,Estimate,10
"TAZ 00000165, Honolulu County, Hawaii",3 workers,Margin of Error,14
"TAZ 00000165, Honolulu County, Hawaii",4-or-more workers,Estimate,0
"TAZ 00000165, Honolulu County, Hawaii",4-or-more workers,Margin of Error,11
"TAZ 00000166, Honolulu County, Hawaii","Total, number of workers in household",Estimate,290
"TAZ 00000166, Honolulu County, Hawaii","Total, number of workers in household",Margin of Error,56
"TAZ 00000166, Honolulu County, Hawaii",0 workers,Estimate,55
"TAZ 00000166, Honolulu County, Hawaii",0 workers,Margin of Error,30
"TAZ 00000166, Honolulu County, Hawaii",1 worker,Estimate,125
"TAZ 00000166, Honolulu County, Hawaii",1 worker,Margin of Error,54
"TAZ 00000166, Honolulu County, Hawaii",2 workers,Estimate,105
"TAZ 00000166, Honolulu County, Hawaii",2 workers,Margin of Error,51
"TAZ 00000166, Honolulu County, Hawaii",3 workers,Estimate,4
"TAZ 00000166, Honolulu County, Hawaii",3 workers,Margin of Error,14
"TAZ 00000166, Honolulu County, Hawaii",4-or-more workers,Estimate,0
"TAZ 00000166, Honolulu County, Hawaii",4-or-more workers,Margin of Error,11
"TAZ 00000167, Honolulu County, Hawaii","Total, number of workers in household",Estimate,360
"TAZ 00000167, Honolulu County, Hawaii","Total, number of workers in household",Margin of Error,69
"TAZ 00000167, Honolulu County, Hawaii",0 workers,Estimate,105
"TAZ 00000167, Honolulu County, Hawaii",0 workers,Margin of Error,44
"TAZ 00000167, Honolulu County, Hawaii",1 worker,Estimate,145
"TAZ 00000167, Honolulu County, Hawaii",1 worker,Margin of Error,59
"TAZ 00000167, Honolulu County, Hawaii",2 workers,Estimate,110
"TAZ 00000167, Honolulu County, Hawaii",2 workers,Margin of Error,68
"TAZ 00000167, Honolulu County, Hawaii",3 workers,Estimate,0
"TAZ 00000167, Honolulu County, Hawaii",3 workers,Margin of Error,11
"TAZ 00000167, Honolulu County, Hawaii",4-or-more workers,Estimate,0
"TAZ 00000167, Honolulu County, Hawaii",4-or-more workers,Margin of Error,11
"TAZ 00000168, Honolulu County, Hawaii","Total, number of workers in household",Estimate,240
"TAZ 00000168, Honolulu County, Hawaii","Total, number of workers in household",Margin of Error,73
"TAZ 00000168, Honolulu County, Hawaii",0 workers,Estimate,105
"TAZ 00000168, Honolulu County, Hawaii",0 workers,Margin of Error,63
"TAZ 00000168, Honolulu County, Hawaii",1 worker,Estimate,65
"TAZ 00000168, Honolulu County, Hawaii",1 worker,Margin of Error,53
"TAZ 00000168, Honolulu County, Hawaii",2 workers,Estimate,60
"TAZ 00000168, Honolulu County, Hawaii",2 workers,Margin of Error,49
"TAZ 00000168, Honolulu County, Hawaii",3 workers,Estimate,0
"TAZ 00000168, Honolulu County, Hawaii",3 workers,Margin of Error,11
"TAZ 00000168, Honolulu County, Hawaii",4-or-more workers,Estimate,10
"TAZ 00000168, Honolulu County, Hawaii",4-or-more workers,Margin of Error,20
"TAZ 00000169, Honolulu County, Hawaii","Total, number of workers in household",Estimate,285
"TAZ 00000169, Honolulu County, Hawaii","Total, number of workers in household",Margin of Error,83
"TAZ 00000169, Honolulu County, Hawaii",0 workers,Estimate,35
"TAZ 00000169, Honolulu County, Hawaii",0 workers,Margin of Error,39
"TAZ 00000169, Honolulu County, Hawaii",1 worker,Estimate,135
"TAZ 00000169, Honolulu County, Hawaii",1 worker,Margin of Error,70
"TAZ 00000169, Honolulu County, Hawaii",2 workers,Estimate,110
"TAZ 00000169, Honolulu County, Hawaii",2 workers,Margin of Error,62
"TAZ 00000169, Honolulu County, Hawaii",3 workers,Estimate,0
"TAZ 00000169, Honolulu County, Hawaii",3 workers,Margin of Error,11
"TAZ 00000169, Honolulu County, Hawaii",4-or-more workers,Estimate,4
"TAZ 00000169, Honolulu County, Hawaii",4-or-more workers,Margin of Error,25
"TAZ 00000170, Honolulu County, Hawaii","Total, number of workers in household",Estimate,220
"TAZ 00000170, Honolulu County, Hawaii","Total, number of workers in household",Margin of Error,74
"TAZ 00000170, Honolulu County, Hawaii",0 workers,Estimate,50
"TAZ 00000170, Honolulu County, Hawaii",0 workers,Margin of Error,47
"TAZ 00000170, Honolulu County, Hawaii",1 worker,Estimate,80
"TAZ 00000170, Honolulu County, Hawaii",1 worker,Margin of Error,55
"TAZ 00000170, Honolulu County, Hawaii",2 workers,Estimate,70
"TAZ 00000170, Honolulu County, Hawaii",2 workers,Margin of Error,44
"TAZ 00000170, Honolulu County, Hawaii",3 workers,Estimate,20
"TAZ 00000170, Honolulu County, Hawaii",3 workers,Margin of Error,19
"TAZ 00000170, Honolulu County, Hawaii",4-or-more workers,Estimate,0
"TAZ 00000170, Honolulu County, Hawaii",4-or-more workers,Margin of Error,11
"TAZ 00000171, Honolulu County, Hawaii","Total, number of workers in household",Estimate,825
"TAZ 00000171, Honolulu County, Hawaii","Total, number of workers in household",Margin of Error,134
"TAZ 00000171, Honolulu County, Hawaii",0 workers,Estimate,215
"TAZ 00000171, Honolulu County, Hawaii",0 workers,Margin of Error,95
"TAZ 00000171, Honolulu County, Hawaii",1 worker,Estimate,340
"TAZ 00000171, Honolulu County, Hawaii",1 worker,Margin of Error,139
"TAZ 00000171, Honolulu County, Hawaii",2 workers,Estimate,250
"TAZ 00000171, Honolulu County, Hawaii",2 workers,Margin of Error,96
"TAZ 00000171, Honolulu County, Hawaii",3 workers,Estimate,20
"TAZ 00000171, Honolulu County, Hawaii",3 workers,Margin of Error,35
"TAZ 00000171, Honolulu County, Hawaii",4-or-more workers,Estimate,0
"TAZ 00000171, Honolulu County, Hawaii",4-or-more workers,Margin of Error,11
"TAZ 00000172, Honolulu County, Hawaii","Total, number of workers in household",Estimate,185
"TAZ 00000172, Honolulu County, Hawaii","Total, number of workers in household",Margin of Error,61
"TAZ 00000172, Honolulu County, Hawaii",0 workers,Estimate,75
"TAZ 00000172, Honolulu County, Hawaii",0 workers,Margin of Error,53
"TAZ 00000172, Honolulu County, Hawaii",1 worker,Estimate,50
"TAZ 00000172, Honolulu County, Hawaii",1 worker,Margin of Error,46
"TAZ 00000172, Honolulu County, Hawaii",2 workers,Estimate,35
"TAZ 00000172, Honolulu County, Hawaii",2 workers,Margin of Error,38
"TAZ 00000172, Honolulu County, Hawaii",3 workers,Estimate,15
"TAZ 00000172, Honolulu County, Hawaii",3 workers,Margin of Error,23
"TAZ 00000172, Honolulu County, Hawaii",4-or-more workers,Estimate,15
"TAZ 00000172, Honolulu County, Hawaii",4-or-more workers,Margin of Error,25
"TAZ 00000173, Honolulu County, Hawaii","Total, number of workers in household",Estimate,140
"TAZ 00000173, Honolulu County, Hawaii","Total, number of workers in household",Margin of Error,62
"TAZ 00000173, Honolulu County, Hawaii",0 workers,Estimate,20
"TAZ 00000173, Honolulu County, Hawaii",0 workers,Margin of Error,33
"TAZ 00000173, Honolulu County, Hawaii",1 worker,Estimate,85
"TAZ 00000173, Honolulu County, Hawaii",1 worker,Margin of Error,36
"TAZ 00000173, Honolulu County, Hawaii",2 workers,Estimate,40
"TAZ 00000173, Honolulu County, Hawaii",2 workers,Margin of Error,43
"TAZ 00000173, Honolulu County, Hawaii",3 workers,Estimate,0
"TAZ 00000173, Honolulu County, Hawaii",3 workers,Margin of Error,11
"TAZ 00000173, Honolulu County, Hawaii",4-or-more workers,Estimate,0
"TAZ 00000173, Honolulu County, Hawaii",4-or-more workers,Margin of Error,11
"TAZ 00000174, Honolulu County, Hawaii","Total, number of workers in household",Estimate,175
"TAZ 00000174, Honolulu County, Hawaii","Total, number of workers in household",Margin of Error,87
"TAZ 00000174, Honolulu County, Hawaii",0 workers,Estimate,40
"TAZ 00000174, Honolulu County, Hawaii",0 workers,Margin of Error,42
"TAZ 00000174, Honolulu County, Hawaii",1 worker,Estimate,130
"TAZ 00000174, Honolulu County, Hawaii",1 worker,Margin of Error,87
"TAZ 00000174, Honolulu County, Hawaii",2 workers,Estimate,0
"TAZ 00000174, Honolulu County, Hawaii",2 workers,Margin of Error,11
"TAZ 00000174, Honolulu County, Hawaii",3 workers,Estimate,0
"TAZ 00000174, Honolulu County, Hawaii",3 workers,Margin of Error,11
"TAZ 00000174, Honolulu County, Hawaii",4-or-more workers,Estimate,0
"TAZ 00000174, Honolulu County, Hawaii",4-or-more workers,Margin of Error,11
"TAZ 00000175, Honolulu County, Hawaii","Total, number of workers in household",Estimate,0
"TAZ 00000175, Honolulu County, Hawaii","Total, number of workers in household",Margin of Error,11
