A112109 - Number of Workers in household (6) (Households),,,
Current date: 11/15/2022 12:36:46 PM (Eastern Standard Time),,,
RESIDENCE,Number of Workers in Household 6,Output,Households
"TAZ 00000006, Honolulu County, Hawaii",4-or-more workers,Margin of Error,22
"TAZ 00000007, Honolulu County, Hawaii","Total, number of workers in household",Estimate,680
"TAZ 00000007, Honolulu County, Hawaii","Total, number of workers in household",Margin of Error,64
"TAZ 00000007, Honolulu County, Hawaii",0 workers,Estimate,140
"TAZ 00000007, Honolulu County, Hawaii",0 workers,Margin of Error,57
"TAZ 00000007, Honolulu County, Hawaii",1 worker,Estimate,190
"TAZ 00000007, Honolulu County, Hawaii",1 worker,Margin of Error,67
"TAZ 00000007, Honolulu County, Hawaii",2 workers,Estimate,250
"TAZ 00000007, Honolulu County, Hawaii",2 workers,Margin of Error,73
"TAZ 00000007, Honolulu County, Hawaii",3 workers,Estimate,45
"TAZ 00000007, Honolulu County, Hawaii",3 workers,Margin of Error,29
"TAZ 00000007, Honolulu County, Hawaii",4-or-more workers,Estimate,55
"TAZ 00000007, Honolulu County, Hawaii",4-or-more workers,Margin of Error,50
"TAZ 00000008, Honolulu County, Hawaii","Total, number of workers in household",Estimate,160
"TAZ 00000008, Honolulu County, Hawaii","Total, number of workers in household",Margin of Error,45
"TAZ 00000008, Honolulu County, Hawaii",0 workers,Estimate,25
"TAZ 00000008, Honolulu County, Hawaii",0 workers,Margin of Error,21
"TAZ 00000008, Honolulu County, Hawaii",1 worker,Estimate,65
"TAZ 00000008, Honolulu County, Hawaii",1 worker,Margin of Error,43
"TAZ 00000008, Honolulu County, Hawaii",2 workers,Estimate,70
"TAZ 00000008, Honolulu County, Hawaii",2 workers,Margin of Error,37
"TAZ 00000008, Honolulu County, Hawaii",3 workers,Estimate,0
"TAZ 00000008, Honolulu County, Hawaii",3 workers,Margin of Error,11
"TAZ 00000008, Honolulu County, Hawaii",4-or-more workers,Estimate,0
"TAZ 00000008, Honolulu County, Hawaii",4-or-more workers,Margin of Error,11
"TAZ 00000009, Honolulu County, Hawaii","Total, number of workers in household",Estimate,400
"TAZ 00000009, Honolulu County, Hawaii","Total, number of workers in household",Margin of Error,110
"TAZ 00000009, Honolulu County, Hawaii",0 workers,Estimate,255
"TAZ 00000009, Honolulu County, Hawaii",0 workers,Margin of Error,96
"TAZ 00000009, Honolulu County, Hawaii",1 worker,Estimate,90
"TAZ 00000009, Honolulu County, Hawaii",1 worker,Margin of Error,57
"TAZ 00000009, Honolulu County, Hawaii",2 workers,Estimate,60
"TAZ 00000009, Honolulu County, Hawaii",2 workers,Margin of Error,48
"TAZ 00000009, Honolulu County, Hawaii",3 workers,Estimate,0
"TAZ 00000009, Honolulu County, Hawaii",3 workers,Margin of Error,11
"TAZ 00000009, Honolulu County, Hawaii",4-or-more workers,Estimate,0
"TAZ 00000009, Honolulu County, Hawaii",4-or-more workers,Margin of Error,11
"TAZ 00000010, Honolulu County, Hawaii","Total, number of workers in household",Estimate,315
"TAZ 00000010, Honolulu County, Hawaii","Total, number of workers in household",Margin of Error,76
"TAZ 00000010, Honolulu County, Hawaii",0 workers,Estimate,105
"TAZ 00000010, Honolulu County, Hawaii",0 workers,Margin of Error,62
"TAZ 00000010, Honolulu County, Hawaii",1 worker,Estimate,10
"TAZ 00000010, Honolulu County, Hawaii",1 worker,Margin of Error,15
"TAZ 00000010, Honolulu County, Hawaii",2 workers,Estimate,150
"TAZ 00000010, Honolulu County, Hawaii",2 workers,Margin of Error,80
"TAZ 00000010, Honolulu County, Hawaii",3 workers,Estimate,25
"TAZ 00000010, Honolulu County, Hawaii",3 workers,Margin of Error,44
"TAZ 00000010, Honolulu County, Hawaii",4-or-more workers,Estimate,20
"TAZ 00000010, Honolulu County, Hawaii",4-or-more workers,Margin of Error,34
"TAZ 00000011, Honolulu County, Hawaii","Total, number of workers in household",Estimate,800
"TAZ 00000011, Honolulu County, Hawaii","Total, number of workers in household",Margin of Error,148
"TAZ 00000011, Honolulu County, Hawaii",0 workers,Estimate,185
"TAZ 00000011, Honolulu County, Hawaii",0 workers,Margin of Error,69
"TAZ 00000011, Honolulu County, Hawaii",1 worker,Estimate,230
"TAZ 00000011, Honolulu County, Hawaii",1 worker,Margin of Error,97
"TAZ 00000011, Honolulu County, Hawaii",2 workers,Estimate,325
"TAZ 00000011, Honolulu County, Hawaii",2 workers,Margin of Error,125
"TAZ 00000011, Honolulu County, Hawaii",3 workers,Estimate,35
"TAZ 00000011, Honolulu County, Hawaii",3 workers,Margin of Error,38
"TAZ 00000011, Honolulu County, Hawaii",4-or-more workers,Estimate,30
"TAZ 00000011, Honolulu County, Hawaii",4-or-more workers,Margin of Error,43
"TAZ 00000012, Honolulu County, Hawaii","Total, number of workers in household",Estimate,40
"TAZ 00000012, Honolulu County, Hawaii","Total, number of workers in household",Margin of Error,36
"TAZ 00000012, Honolulu County, Hawaii",0 workers,Estimate,20
"TAZ 00000012, Honolulu County, Hawaii",0 workers,Margin of Error,21
"TAZ 00000012, Honolulu County, Hawaii",1 worker,Estimate,0
"TAZ 00000012, Honolulu County, Hawaii",1 worker,Margin of Error,11
"TAZ 00000012, Honolulu County, Hawaii",2 workers,Estimate,0
"TAZ 00000012, Honolulu County, Hawaii",2 workers,Margin of Error,11
"TAZ 00000012, Honolulu County, Hawaii",3 workers,Estimate,20
"TAZ 00000012, Honolulu County, Hawaii",3 workers,Margin of Error,32
"TAZ 00000012, Honolulu County, Hawaii",4-or-more workers,Estimate,0
"TAZ 00000012, Honolulu County, Hawaii",4-or-more workers,Margin of Error,11
"TAZ 00000013, Honolulu County, Hawaii","Total, number of workers in household",Estimate,350
"TAZ 00000013, Honolulu County, Hawaii","Total, number of workers in household",Margin of Error,74
"TAZ 00000013, Honolulu County, Hawaii",0 workers,Estimate,100
"TAZ 00000013, Honolulu County, Hawaii",0 workers,Margin of Error,45
"TAZ 00000013, Honolulu County, Hawaii",1 worker,Estimate,85
"TAZ 00000013, Honolulu County, Hawaii",1 worker,Margin of Error,67
"TAZ 00000013, Honolulu County, Hawaii",2 workers,Estimate,145
"TAZ 00000013, Honolulu County, Hawaii",2 workers,Margin of Error,69
"TAZ 00000013, Honolulu County, Hawaii",3 workers,Estimate,20
"TAZ 00000013, Honolulu County, Hawaii",3 workers,Margin of Error,35
"TAZ 00000013, Honolulu County, Hawaii",4-or-more workers,Estimate,0
"TAZ 00000013, Honolulu County, Hawaii",4-or-more workers,Margin of Error,11
"TAZ 00000014, Honolulu County, Hawaii","Total, number of workers in household",Estimate,270
"TAZ 00000014, Honolulu County, Hawaii","Total, number of workers in household",Margin of Error,41
"TAZ 00000014, Honolulu County, Hawaii",0 workers,Estimate,130
"TAZ 00000014, Honolulu County, Hawaii",0 workers,Margin of Error,36
"TAZ 00000014, Honolulu County, Hawaii",1 worker,Estimate,80
"TAZ 00000014, Honolulu County, Hawaii",1 worker,Margin of Error,23
"TAZ 00000014, Honolulu County, Hawaii",2 workers,Estimate,40
"TAZ 00000014, Honolulu County, Hawaii",2 workers,Margin of Error,22
"TAZ 00000014, Honolulu County, Hawaii",3 workers,Estimate,10
"TAZ 00000014, Honolulu County, Hawaii",3 workers,Margin of Error,13
"TAZ 00000014, Honolulu County, Hawaii",4-or-more workers,Estimate,15
"TAZ 00000014, Honolulu County, Hawaii",4-or-more workers,Margin of Error,14
"TAZ 00000015, Honolulu County, Hawaii","Total, number of workers in household",Estimate,210
"TAZ 00000015, Honolulu County, Hawaii","Total, number of workers in household",Margin of Error,41
"TAZ 00000015, Honolulu County, Hawaii",0 workers,Estimate,30
"TAZ 00000015, Honolulu County, Hawaii",0 workers,Margin of Error,18
"TAZ 00000015, Honolulu County, Hawaii",1 worker,Estimate,60
"TAZ 00000015, Honolulu County, Hawaii",1 worker,Margin of Error,28
"TAZ 00000015, Honolulu County, Hawaii",2 workers,Estimate,95
"TAZ 00000015, Honolulu County, Hawaii",2 workers,Margin of Error,43
"TAZ 00000015, Honolulu County, Hawaii",3 workers,Estimate,15
"TAZ 00000015, Honolulu County, Hawaii",3 workers,Margin of Error,16
"TAZ 00000015, Honolulu County, Hawaii",4-or-more workers,Estimate,10
"TAZ 00000015, Honolulu County, Hawaii",4-or-more workers,Margin of Error,12
"TAZ 00000016, Honolulu County, Hawaii","Total, number of workers in household",Estimate,350
"TAZ 00000016, Honolulu County, Hawaii","Total, number of workers in household",Margin of Error,60
"TAZ 00000016, Honolulu County, Hawaii",0 workers,Estimate,60
"TAZ 00000016, Honolulu County, Hawaii",0 workers,Margin of Error,36
"TAZ 00000016, Honolulu County, Hawaii",1 worker,Estimate,95
"TAZ 00000016, Honolulu County, Hawaii",1 worker,Margin of Error,44
"TAZ 00000016, Honolulu County, Hawaii",2 workers,Estimate,170
"TAZ 00000016, Honolulu County, Hawaii",2 workers,Margin of Error,47
"TAZ 00000016, Honolulu County, Hawaii",3 workers,Estimate,25
"TAZ 00000016, Honolulu County, Hawaii",3 workers,Margin of Error,20
"TAZ 00000016, Honolulu County, Hawaii",4-or-more workers,Estimate,4
"TAZ 00000016, Honolulu County, Hawaii",4-or-more workers,Margin of Error,11
"TAZ 00000017, Honolulu County, Hawaii","Total, number of workers in household",Estimate,115
"TAZ 00000017, Honolulu County, Hawaii","Total, number of workers in household",Margin of Error,46
"TAZ 00000017, Honolulu County, Hawaii",0 workers,Estimate,35
"TAZ 00000017, Honolulu County, Hawaii",0 workers,Margin of Error,20
"TAZ 00000017, Honolulu County, Hawaii",1 worker,Estimate,20
"TAZ 00000017, Honolulu County, Hawaii",1 worker,Margin of Error,14
"TAZ 00000017, Honolulu County, Hawaii",2 workers,Estimate,60
"TAZ 00000017, Honolulu County, Hawaii",2 workers,Margin of Error,44
"TAZ 00000017, Honolulu County, Hawaii",3 workers,Estimate,0
"TAZ 00000017, Honolulu County, Hawaii",3 workers,Margin of Error,11
"TAZ 00000017, Honolulu County, Hawaii",4-or-more workers,Estimate,0
"TAZ 00000017, Honolulu County, Hawaii",4-or-more workers,Margin of Error,11
"TAZ 00000018, Honolulu County, Hawaii","Total, number of workers in household",Estimate,265
"TAZ 00000018, Honolulu County, Hawaii","Total, number of workers in household",Margin of Error,55
"TAZ 00000018, Honolulu County, Hawaii",0 workers,Estimate,70
"TAZ 00000018, Honolulu County, Hawaii",0 workers,Margin of Error,26
"TAZ 00000018, Honolulu County, Hawaii",1 worker,Estimate,105
"TAZ 00000018, Honolulu County, Hawaii",1 worker,Margin of Error,55
"TAZ 00000018, Honolulu County, Hawaii",2 workers,Estimate,65
"TAZ 00000018, Honolulu County, Hawaii",2 workers,Margin of Error,28
"TAZ 00000018, Honolulu County, Hawaii",3 workers,Estimate,15
"TAZ 00000018, Honolulu County, Hawaii",3 workers,Margin of Error,20
"TAZ 00000018, Honolulu County, Hawaii",4-or-more workers,Estimate,10
"TAZ 00000018, Honolulu County, Hawaii",4-or-more workers,Margin of Error,13
"TAZ 00000019, Honolulu County, Hawaii","Total, number of workers in household",Estimate,175
"TAZ 00000019, Honolulu County, Hawaii","Total, number of workers in household",Margin of Error,44
"TAZ 00000019, Honolulu County, Hawaii",0 workers,Estimate,15
"TAZ 00000019, Honolulu County, Hawaii",0 workers,Margin of Error,13
"TAZ 00000019, Honolulu County, Hawaii",1 worker,Estimate,100
"TAZ 00000019, Honolulu County, Hawaii",1 worker,Margin of Error,40
"TAZ 00000019, Honolulu County, Hawaii",2 workers,Estimate,55
"TAZ 00000019, Honolulu County, Hawaii",2 workers,Margin of Error,27
"TAZ 00000019, Honolulu County, Hawaii",3 workers,Estimate,4
"TAZ 00000019, Honolulu County, Hawaii",3 workers,Margin of Error,8
"TAZ 00000019, Honolulu County, Hawaii",4-or-more workers,Estimate,4
"TAZ 00000019, Honolulu County, Hawaii",4-or-more workers,Margin of Error,2
"TAZ 00000020, Honolulu County, Hawaii","Total, number of workers in household",Estimate,"1,845"
"TAZ 00000020, Honolulu County, Hawaii","Total, number of workers in household",Margin of Error,165
"TAZ 00000020, Honolulu County, Hawaii",0 workers,Estimate,400
"TAZ 00000020, Honolulu County, Hawaii",0 workers,Margin of Error,112
"TAZ 00000020, Honolulu County, Hawaii",1 worker,Estimate,570
"TAZ 00000020, Honolulu County, Hawaii",1 worker,Margin of Error,141
"TAZ 00000020, Honolulu County, Hawaii",2 workers,Estimate,765
"TAZ 00000020, Honolulu County, Hawaii",2 workers,Margin of Error,159
"TAZ 00000020, Honolulu County, Hawaii",3 workers,Estimate,65
"TAZ 00000020, Honolulu County, Hawaii",3 workers,Margin of Error,47
"TAZ 00000020, Honolulu County, Hawaii",4-or-more workers,Estimate,45
"TAZ 00000020, Honolulu County, Hawaii",4-or-more workers,Margin of Error,39
"TAZ 00000021, Honolulu County, Hawaii","Total, number of workers in household",Estimate,440
"TAZ 00000021, Honolulu County, Hawaii","Total, number of workers in household",Margin of Error,84
"TAZ 00000021, Honolulu County, Hawaii",0 workers,Estimate,115
"TAZ 00000021, Honolulu County, Hawaii",0 workers,Margin of Error,46
"TAZ 00000021, Honolulu County, Hawaii",1 worker,Estimate,140
"TAZ 00000021, Honolulu County, Hawaii",1 worker,Margin of Error,64
"TAZ 00000021, Honolulu County, Hawaii",2 workers,Estimate,125
"TAZ 00000021, Honolulu County, Hawaii",2 workers,Margin of Error,59
"TAZ 00000021, Honolulu County, Hawaii",3 workers,Estimate,55
"TAZ 00000021, Honolulu County, Hawaii",3 workers,Margin of Error,51
"TAZ 00000021, Honolulu County, Hawaii",4-or-more workers,Estimate,0
"TAZ 00000021, Honolulu County, Hawaii",4-or-more workers,Margin of Error,11
"TAZ 00000022, Honolulu County, Hawaii","Total, number of workers in household",Estimate,0
"TAZ 00000022, Honolulu County, Hawaii","Total, number of workers in household",Margin of Error,11
"TAZ 00000022, Honolulu County, Hawaii",0 workers,Estimate,0
"TAZ 00000022, Honolulu County, Hawaii",0 workers,Margin of Error,11
