avg_size,siz1,siz2,siz3,siz4
2.38,0.2859,0.3573,0.1682,0.1886
2.39,0.2832,0.3573,0.1689,0.1906
2.4,0.2805,0.3574,0.1695,0.1926
2.41,0.2779,0.3573,0.1701,0.1947
2.42,0.2753,0.3573,0.1707,0.1967
2.43,0.2727,0.3573,0.1713,0.1987
2.44,0.2701,0.3572,0.1719,0.2008
2.45,0.2676,0.3571,0.1725,0.2028
2.46,0.2651,0.3569,0.1731,0.2049
2.47,0.2626,0.3568,0.1737,0.2069
2.48,0.2602,0.3566,0.1742,0.209
2.49,0.2577,0.3564,0.1748,0.2111
2.5,0.2553,0.3563,0.1753,0.2131
2.51,0.2529,0.3561,0.1758,0.2152
2.52,0.2506,0.3557,0.1764,0.2173
2.53,0.2483,0.3555,0.1769,0.2193
2.54,0.246,0.3552,0.1774,0.2214
2.55,0.2437,0.3549,0.1779,0.2235
2.56,0.2414,0.3546,0.1784,0.2256
2.57,0.2392,0.3543,0.1788,0.2277
2.58,0.237,0.3539,0.1793,0.2298
2.59,0.2348,0.3535,0.1798,0.2319
2.6,0.2326,0.3532,0.1802,0.234
2.61,0.2305,0.3527,0.1807,0.2361
2.62,0.2284,0.3523,0.1811,0.2382
2.63,0.2263,0.3519,0.1815,0.2403
2.64,0.2242,0.3515,0.1819,0.2424
2.65,0.2222,0.3509,0.1824,0.2445
2.66,0.2202,0.3504,0.1828,0.2466
2.67,0.2182,0.3499,0.1832,0.2487
2.68,0.2162,0.3494,0.1835,0.2509
2.69,0.2143,0.3488,0.1839,0.253
2.7,0.2123,0.3483,0.1843,0.2551
2.71,0.2104,0.3477,0.1847,0.2572
2.72,0.2086,0.347,0.185,0.2594
2.73,0.2067,0.3464,0.1854,0.2615
2.74,0.2049,0.3458,0.1857,0.2636
2.75,0.203,0.3453,0.186,0.2657
2.76,0.2013,0.3444,0.1864,0.2679
2.77,0.1995,0.3438,0.1867,0.27
2.78,0.1977,0.3431,0.187,0.2722
2.79,0.196,0.3424,0.1873,0.2743
2.8,0.1943,0.3417,0.1876,0.2764
2.81,0.1926,0.3409,0.1879,0.2786
2.82,0.1909,0.3403,0.1881,0.2807
2.83,0.1893,0.3394,0.1884,0.2829
2.84,0.1877,0.3386,0.1887,0.285
2.85,0.1861,0.3378,0.1889,0.2872
2.86,0.1845,0.337,0.1892,0.2893
2.87,0.1829,0.3363,0.1894,0.2914
2.88,0.1814,0.3353,0.1897,0.2936
2.89,0.1799,0.3345,0.1899,0.2957
2.9,0.1784,0.3336,0.1901,0.2979
2.91,0.1769,0.3327,0.1903,0.3001
2.92,0.1754,0.3319,0.1905,0.3022
2.93,0.174,0.3309,0.1907,0.3044
2.94,0.1726,0.33,0.1909,0.3065
2.95,0.1712,0.329,0.1911,0.3087
2.96,0.1698,0.3281,0.1913,0.3108
2.97,0.1684,0.3272,0.1914,0.313
2.98,0.1671,0.3262,0.1916,0.3151
2.99,0.1657,0.3253,0.1917,0.3173
3,0.1644,0.3243,0.1919,0.3194
3.01,0.1631,0.3233,0.192,0.3216
3.02,0.1618,0.3223,0.1922,0.3237
3.03,0.1606,0.3212,0.1923,0.3259
3.04,0.1594,0.3202,0.1924,0.328
3.05,0.1581,0.3192,0.1925,0.3302
3.06,0.1569,0.3181,0.1926,0.3324
3.07,0.1557,0.317,0.1927,0.3346
3.08,0.1546,0.316,0.1928,0.3366
3.09,0.1534,0.3149,0.1929,0.3388
3.1,0.1523,0.3138,0.193,0.3409
3.11,0.1512,0.3127,0.1931,0.343
3.12,0.1501,0.3115,0.1931,0.3453
3.13,0.149,0.3104,0.1932,0.3474
3.14,0.1479,0.3093,0.1932,0.3496
3.15,0.1469,0.3081,0.1933,0.3517
3.16,0.1458,0.307,0.1933,0.3539
3.17,0.1448,0.3058,0.1934,0.356
3.18,0.1438,0.3047,0.1934,0.3581
3.19,0.1428,0.3035,0.1934,0.3603
3.2,0.1419,0.3023,0.1934,0.3624
3.21,0.1409,0.3011,0.1934,0.3646
3.22,0.14,0.2999,0.1935,0.3666
3.23,0.1391,0.2987,0.1935,0.36870000000000003
3.24,0.1382,0.2975,0.1934,0.3709
3.25,0.1373,0.2963,0.1934,0.373
3.26,0.1364,0.295,0.1934,0.3752
3.27,0.1355,0.2938,0.1934,0.3773
3.28,0.1347,0.2925,0.1934,0.3794
3.29,0.1338,0.2913,0.1933,0.3816
3.3,0.133,0.29,0.1933,0.3837
3.31,0.1322,0.2888,0.1932,0.3858
3.32,0.1314,0.2875,0.1932,0.3879
3.33,0.1306,0.2862,0.1931,0.3901
3.34,0.1299,0.2849,0.193,0.3922
3.35,0.1291,0.2837,0.193,0.3942
3.36,0.1284,0.2824,0.1929,0.3963
3.37,0.1277,0.2811,0.1928,0.3984
3.38,0.127,0.2798,0.1927,0.4005
3.39,0.1263,0.2785,0.1926,0.4026
3.4,0.1256,0.2772,0.1925,0.4047
3.41,0.1249,0.2758,0.1924,0.4069
3.42,0.1242,0.2745,0.1923,0.409
3.43,0.1236,0.2732,0.1922,0.411
3.44,0.123,0.2719,0.1921,0.413
3.45,0.1223,0.2705,0.192,0.4152
3.46,0.1217,0.2692,0.1918,0.4173
3.47,0.1211,0.2679,0.1917,0.4193
3.48,0.1205,0.2665,0.1916,0.4214
