inc_ratio,incL,incML,incMH,incH
1.56,0.0505,0.1432,0.348,0.4583
1.57,0.0495,0.142,0.3457,0.4628
1.58,0.0485,0.1408,0.3433,0.4674
1.59,0.0475,0.1397,0.3409,0.4719
1.6,0.0465,0.1387,0.3385,0.4763
1.61,0.0455,0.1378,0.336,0.4807
1.62,0.0445,0.1369,0.3335,0.4851
1.63,0.0435,0.1361,0.331,0.4894
1.64,0.0425,0.1353,0.3285,0.49370000000000003
1.65,0.0414,0.1346,0.3259,0.4981
1.66,0.0404,0.134,0.3233,0.5023
1.67,0.0394,0.1335,0.3206,0.5065
1.68,0.0383,0.133,0.318,0.5107
1.69,0.0373,0.1325,0.3153,0.5149
1.7,0.0362,0.1322,0.3126,0.519
1.71,0.0352,0.1319,0.3099,0.523
1.72,0.0341,0.1316,0.3071,0.5272
1.73,0.0331,0.1314,0.3044,0.5311
1.74,0.0321,0.1312,0.3016,0.5351
1.75,0.0311,0.1311,0.2988,0.539
1.76,0.0301,0.1311,0.296,0.5428
1.77,0.0291,0.1311,0.2932,0.5466
1.78,0.0281,0.1311,0.2904,0.5504
1.79,0.0271,0.1312,0.2876,0.5541
1.8,0.0262,0.1313,0.2848,0.5577
1.81,0.0252,0.1314,0.282,0.5614
1.82,0.0243,0.1316,0.2792,0.5649
1.83,0.0234,0.1318,0.2764,0.5684
1.84,0.0225,0.1321,0.2736,0.5718
1.85,0.0217,0.1324,0.2708,0.5751
1.86,0.0209,0.1326,0.2681,0.5784
1.87,0.0201,0.133,0.2653,0.5816
1.88,0.0193,0.1333,0.2625,0.5849
1.89,0.0186,0.1337,0.2598,0.5879
1.9,0.018,0.134,0.2571,0.5909
1.91,0.0173,0.1344,0.2544,0.5939
1.92,0.0167,0.1348,0.2517,0.5968
1.93,0.0162,0.1351,0.2491,0.5996
1.94,0.0157,0.1355,0.2465,0.6023
1.95,0.0152,0.1359,0.2439,0.605
1.96,0.0148,0.1363,0.2414,0.6075
1.97,0.0145,0.1366,0.2388,0.6101
1.98,0.0142,0.137,0.2364,0.61240000000000006
1.99,0.014,0.1373,0.2339,0.6148
2,0.0138,0.1376,0.2315,0.6171
