avg_workers,wrk0,wrk1,wrk2,wrk3
1.45,0.1856,0.3555,0.3343,0.1246
1.46,0.1839,0.3531,0.336,0.127
1.47,0.1822,0.3505,0.3377,0.1296
1.48,0.1805,0.3481,0.3393,0.1321
1.49,0.1789,0.3455,0.3409,0.1347
1.5,0.1773,0.343,0.3424,0.1373
1.51,0.1757,0.3436,0.3408,0.1399
1.52,0.1742,0.3413,0.3419,0.1426
1.53,0.1726,0.3389,0.3432,0.1453
1.54,0.1711,0.3366,0.3443,0.148
1.55,0.1696,0.3343,0.3454,0.1507
1.56,0.1682,0.3319,0.3464,0.1535
1.57,0.1667,0.3296,0.3474,0.1563
1.58,0.1653,0.3272,0.3484,0.1591
1.59,0.1639,0.3249,0.3492,0.162
1.6,0.1625,0.3225,0.3502,0.1648
1.61,0.1611,0.3202,0.3509,0.1678
1.62,0.1598,0.3178,0.3517,0.1707
1.63,0.1585,0.3155,0.3523,0.1737
1.64,0.1572,0.3132,0.353,0.1766
1.65,0.1559,0.3108,0.3536,0.1797
1.66,0.1546,0.3085,0.3542,0.1827
1.67,0.1533,0.3061,0.3548,0.1858
1.68,0.1521,0.3038,0.3552,0.1889
1.69,0.1509,0.3015,0.3556,0.192
1.7,0.1497,0.2991,0.3561,0.1951
1.71,0.1485,0.2968,0.3564,0.1983
1.72,0.1473,0.2945,0.3567,0.2015
1.73,0.1461,0.2922,0.357,0.2047
1.74,0.145,0.2899,0.3571,0.208
1.75,0.1439,0.2876,0.3572,0.2113
1.76,0.1427,0.2853,0.3574,0.2146
1.77,0.1416,0.2831,0.3574,0.2179
1.78,0.1406,0.2808,0.3574,0.2212
1.79,0.1395,0.2786,0.3573,0.2246
1.8,0.1384,0.2763,0.3573,0.228
1.81,0.1374,0.2741,0.3571,0.2314
1.82,0.1363,0.2719,0.3569,0.2349
1.83,0.1353,0.2697,0.3566,0.2384
1.84,0.1343,0.2675,0.3563,0.2419
1.85,0.1333,0.2653,0.356,0.2454
1.86,0.1323,0.2631,0.3557,0.2489
1.87,0.1313,0.261,0.3552,0.2525
1.88,0.1304,0.2589,0.3546,0.2561
1.89,0.1294,0.2567,0.3542,0.2597
1.9,0.1284,0.2546,0.3537,0.2633
1.91,0.1275,0.2525,0.353,0.267
1.92,0.1266,0.2505,0.3523,0.2706
1.93,0.1257,0.2484,0.3516,0.2743
1.94,0.1248,0.2464,0.3507,0.2781
1.95,0.1239,0.2443,0.35,0.2818
1.96,0.123,0.2423,0.3491,0.2856
1.97,0.1221,0.2404,0.3481,0.2894
1.98,0.1212,0.2384,0.3472,0.2932
1.99,0.1203,0.2364,0.3463,0.297
2,0.1195,0.2345,0.3452,0.3008
