Field,prod_vbHBEat,prod_vbHBO,prod_vbHBRec,prod_vbHBShop,prod_vbHBW,prod_vbNHB,prod_vpHBEat,prod_vpHBO,prod_vpHBRec,prod_vpHBShop,prod_vpHBW,prod_vpNHB,Description
visitors_b,0.6423215512489444,0.027291858441202264,0.561110703802363,0.27072997873848337,0.6610034458320097,1.1237718962394543,0,0,0,0,0,0,
visitors_p,0,0,0,0,0,0,0.8801616627610261,0.1166954503908815,0.7936884310924665,0.3945916572284641,0,1.3991279537193044,
