trip_type,tod,pa_fac
HBEat,AM,0.8695652173913043
HBEat,OP,0.3480916030534351
HBEat,PM,0.7330508474576272
HBO,AM,0.9166666666666666
HBO,OP,0.47619047619047616
HBO,PM,0.375
HBRec,AM,0.9466666666666667
HBRec,OP,0.5689981096408318
HBRec,PM,0.2868217054263566
HBShop,AM,0.9230769230769231
HBShop,OP,0.4394904458598726
HBShop,PM,0.3435114503816794
HBW,AM,1
HBW,OP,0.46
HBW,PM,0.125
NHB,AM,0.5
NHB,OP,0.5
NHB,PM,0.5
