Cluster,ClusterName,Theta,ASC,IC,Calibrated_DeltaASC,Calibrated_DeltaIC
1,c1,0.676,0,0.593,0,0
2,c2,0.568,0,0.593,0,0
4,c4,0.515,0,0.593,0,0
5,c5,0.543,0,0.593,0,0
6,c6,1,0,0.593,0,0
7,c7,0.699,0,0.593,0,0
