Cluster,ClusterName,Theta,ASC,IC,Calibrated_DeltaASC,Calibrated_DeltaIC
1,c1,0.684,0,0,0,0
2,c2,0.713,0,0,0,0
4,c4,0.478,0,0,0,0
5,c5,0.442,0,0,0,0
6,c6,1,0,0,0,0
7,c7,0.497,0,0,0,0
