Cluster,ClusterName,Theta,ASC,IC,Calibrated_DeltaASC,Calibrated_DeltaIC
1,c1,0.619,0,0.571,0,0
2,c2,0.606,0,0.571,0,0
4,c4,0.56,0,0.571,0,0
5,c5,0.566,0,0.571,0,0
6,c6,0.743,0,0.571,0,0
7,c7,0.445,0,0.571,0,0
