Cluster,ClusterName,Theta,ASC,IC,Calibrated_DeltaASC,Calibrated_DeltaIC
1,c1,0.998,0,0.165,0,0
2,c2,0.754,0,2.9,0,0
4,c4,0.793,0,0.248,0,0
5,c5,0.798,0,0.444,0,0
6,c6,1,0,1.58,0,0
7,c7,0.959,0,0.489,0,0
