Cluster,ClusterName,Theta,ASC,IC,Calibrated_DeltaASC,Calibrated_DeltaIC
1,c1,0.453,0,0,0,0
2,c2,0.601,0,1.23,0,0
4,c4,0.413,0,1.15,0,0
5,c5,0.397,0,3.46,0,0
6,c6,0.654,0,1.33,0,0
7,c7,0.532,0,0,0,0
