Cluster,ClusterName,Theta,ASC,IC,Calibrated_DeltaASC,Calibrated_DeltaIC
1,c1,0.513,0,2.44,0,0
2,c2,0.425,0,1.62,0,0
4,c4,0.453,0,3.53,0,0
5,c5,0.404,0,3.96,0,0
6,c6,0.751,0,0.199,0,0
7,c7,0.444,0,3.41,0,0
