Alternative,Expression,Segment,Coefficient,Description
auto,Constant,,2.39,
auto,auto_skim.Time,,-0.0253,
tnc,auto_skim.Time,,-0.0253,
walk,Constant,,3.68,
walk,walk_skim.Time,,-0.0253,
