GEOID,gq_pop,hh_child,hh_pop,hh_senior,hh_tot,inc_med,inc10,inc100,inc125,inc15,inc150,inc20,inc200,inc200p,inc25,inc30,inc35,inc40,inc45,inc50,inc60,inc75,veh_tot,veh0,veh1,veh2,veh3,veh4,veh5
150030042002,0,206,1834,286,956,101800,74,72,109,32,88,23,110,189,26,12,7,0,0,40,69,105,1110,159,495,291,11,0,0
150030043001,43,340,2019,338,790,70755,45,129,39,14,22,61,154,0,10,16,17,29,39,24,95,96,1105,166,335,108,170,11,0
150030043002,0,581,2938,373,1113,89126,53,282,191,14,92,14,33,162,0,0,39,15,35,61,75,47,1610,152,462,424,23,29,23
150030043003,0,69,630,134,356,NA,66,15,0,39,0,63,0,0,13,12,0,30,33,10,31,44,169,236,79,33,8,0,0
150030044001,0,635,2997,547,721,112589,7,66,92,6,74,29,100,148,52,5,27,3,10,14,33,55,1700,37,173,233,134,74,70
150030044002,5,485,2632,726,836,74844,23,91,129,50,73,16,56,67,41,34,17,43,48,9,50,89,1580,74,262,345,59,50,46
150030045001,0,416,2014,544,584,131071,12,83,60,10,80,0,0,231,0,0,0,18,0,22,33,35,1268,10,128,286,109,14,37
150030045002,40,157,694,206,263,134018,0,43,54,0,28,0,51,61,0,13,0,0,0,0,0,13,484,13,102,78,54,16,0
150030045003,29,105,1058,236,360,129733,0,20,26,0,91,0,63,93,0,0,0,0,0,0,44,23,839,0,22,260,41,11,26
150030045004,42,383,2130,707,1042,100682,27,139,285,0,12,17,84,143,34,18,59,0,94,0,38,92,1293,176,487,331,48,0,0
150030046001,116,126,845,193,279,196375,8,26,55,0,12,0,28,135,0,0,8,0,0,0,0,7,674,16,56,91,72,0,44
150030046002,65,305,1665,428,522,108281,0,79,52,10,12,0,43,168,15,0,12,39,8,19,32,33,1060,32,122,184,166,18,0
150030046003,0,350,1327,290,392,125227,0,27,20,29,33,0,76,88,8,32,12,20,0,0,34,13,771,55,50,181,71,29,6
150030047001,0,152,663,129,173,120417,11,14,9,17,11,0,15,53,0,12,0,0,8,0,13,10,482,8,53,24,37,9,42
150030047002,0,469,2637,747,883,105945,47,122,68,0,81,36,116,192,22,12,0,25,44,0,35,83,1839,25,275,306,183,67,27
150030047003,6,155,614,142,181,107344,0,18,13,0,2,0,62,21,25,0,0,0,0,0,8,32,355,33,9,71,68,0,0
150030047004,29,189,908,201,241,71406,9,33,0,9,23,0,23,38,7,9,0,0,0,28,46,16,434,32,70,78,44,9,8
150030048001,603,73,597,149,165,98125,0,13,6,0,23,0,0,49,0,0,0,43,0,8,23,0,362,0,61,24,67,13,0
150030048002,0,221,1355,178,382,96875,95,87,23,0,74,0,25,6,0,0,27,8,0,0,7,30,693,70,104,143,0,22,43
150030048003,129,418,2383,354,640,85000,34,101,51,33,65,6,88,62,8,12,0,24,64,33,16,43,1436,53,136,221,109,87,34
150030048004,24,428,1899,412,446,115357,0,56,33,9,86,0,60,65,56,0,8,0,15,0,42,16,944,46,97,184,43,50,26
150030049001,17,273,1143,218,276,68864,15,28,32,6,34,0,31,2,13,0,12,6,6,17,33,41,601,13,90,80,63,2,28
150030049002,24,186,999,195,317,60260,18,53,18,19,6,26,12,14,9,15,0,0,43,21,5,58,440,85,77,121,19,11,4
150030049003,81,159,1134,277,324,76917,22,97,44,0,12,18,15,17,15,0,0,13,11,14,41,5,602,15,118,105,70,16,0
150030050001,152,132,764,140,255,74402,0,48,32,28,10,10,32,0,6,0,0,7,17,0,8,57,482,37,75,87,18,11,27
150030050002,0,134,1348,456,578,63636,29,59,45,114,52,9,8,71,0,32,8,16,39,8,24,64,775,118,238,149,53,20,0
150030050003,332,124,933,93,333,46453,56,17,8,0,27,0,8,6,0,14,41,0,34,37,50,35,363,93,159,39,42,0,0
150030050004,10,186,1003,123,363,76607,7,65,71,9,36,0,14,0,7,5,19,22,8,30,63,7,530,34,134,189,6,0,0
150030051001,0,246,1424,500,722,14189,182,6,9,215,0,116,0,0,19,48,40,30,14,9,22,12,403,369,315,26,12,0,0
150030051002,0,114,1653,334,862,82857,9,177,104,11,69,0,57,123,0,40,22,35,35,36,70,74,1034,82,553,200,27,0,0
150030052001,0,47,753,197,457,38750,85,52,8,39,14,22,11,0,10,54,10,9,13,16,75,39,406,101,306,50,0,0,0
150030052002,25,123,1696,523,850,22402,156,56,20,76,8,144,7,0,59,20,84,23,62,30,18,87,516,417,350,83,0,0,0
150030053001,0,286,2804,562,1075,37214,155,44,103,70,14,71,0,18,51,69,79,70,31,67,115,118,939,319,612,105,39,0,0
150030053002,28,184,1317,383,519,38365,18,23,86,94,8,81,9,0,25,8,11,65,0,16,15,60,410,240,157,113,9,0,0
150030054001,7,554,1461,157,432,22300,80,17,14,50,0,40,0,0,50,36,48,15,0,11,28,43,317,165,220,44,3,0,0
150030055001,4,80,696,101,213,71513,18,43,15,5,10,12,27,4,6,4,11,6,5,0,0,47,244,66,69,59,19,0,0
150030055002,0,308,1462,151,410,45125,89,39,35,12,0,0,10,9,39,18,10,25,11,39,37,37,408,122,212,40,28,8,0
150030056001,0,762,3708,508,712,90944,47,72,110,0,6,32,73,132,44,10,23,6,59,0,22,76,1461,74,247,152,86,133,20
150030056002,0,218,1080,131,284,58295,27,27,24,11,12,26,0,42,0,11,0,33,0,0,49,22,470,56,133,35,0,33,27
150030056003,53,121,1485,633,640,16731,180,19,19,104,28,79,18,28,40,56,6,22,3,0,38,0,508,361,153,68,39,6,13
150030056004,0,104,954,150,281,NA,18,0,36,44,15,0,49,23,23,0,5,8,0,32,13,15,524,8,120,77,54,22,0
150030057001,448,80,896,258,460,53333,30,32,24,18,21,12,33,18,12,48,38,10,39,20,17,88,479,123,224,98,8,0,7
150030057002,40,267,1157,110,452,38444,63,50,26,18,0,8,5,10,44,69,7,45,37,5,33,32,211,278,146,19,9,0,0
150030058001,0,188,917,176,369,33688,79,16,11,69,0,16,0,0,8,0,23,11,28,0,52,56,429,134,94,104,21,16,0
150030058002,0,438,2282,459,669,67991,41,121,6,9,28,25,23,41,0,0,70,0,48,64,23,170,830,126,311,177,55,0,0
150030059001,1738,178,636,96,175,63625,5,14,18,10,0,4,7,16,0,17,5,17,4,7,10,41,241,22,92,34,27,0,0
150030059002,0,247,1214,180,367,60417,8,76,12,22,15,31,18,5,10,23,8,22,8,5,46,58,507,75,153,112,8,4,15
150030060001,152,286,1326,137,351,59612,28,86,26,37,12,0,0,22,18,0,15,0,0,10,72,25,349,109,169,55,10,0,8
150030060002,23,594,2961,463,477,120764,15,54,44,6,75,0,71,80,0,43,8,0,0,0,48,33,1222,48,117,82,58,111,61
150030060003,0,500,2396,341,467,101118,0,89,54,0,149,0,18,21,21,17,8,0,25,30,8,27,1007,33,121,187,39,60,27
150030061001,69,263,1558,339,390,78152,15,74,24,17,46,4,22,46,0,17,12,10,34,5,13,51,541,118,104,105,36,16,11
150030061002,0,482,2426,291,427,122750,4,51,67,6,67,4,10,123,6,0,14,6,4,23,31,11,921,45,120,112,61,61,28
150030062011,91,574,2536,289,525,84115,38,58,47,16,22,38,137,48,0,6,3,4,0,18,8,82,1012,68,157,122,133,29,16
